alim_code,name_fr,name_en,group_code,subgroup_code,subsubgroup_code,energy_kcal,energy_kj,protein_g,carbs_g,sugars_g,fat_g,saturated_fat_g,fibre_g,salt_g,water_g
13174,"Spécialité de fruits, tout type de fruits, sans sucres ajoutés (mélange chairs et/ou purées de fruits, mais toujours avec autre ingrédient), préemballée, rayon ambiant","Stewed fruits, no added sugars (pulp or mixed fruits, but always with other ingredient), prepacked, room temperature",02,0204,020402,"58,3",246,"0,32","12,7","11,5","0,37","0,14","1,91","0,0063",-
13175,"Pomme, chair sans peau, rôtie/cuite au four","Apple, flesh without skin, roasted/baked",02,0204,020402,"52,7",224,"0,16","12,9","12,6","< 0,5","< 0,15",< 1,< 2,"85,6"
13176,"Pomme, chair sans peau, bouillie/cuite à l'eau","Apples, raw, without skin, cooked, boiled/cooked in water",02,0204,020402,54,228,"0,26","11,2",11,"0,36","0,058","2,4","0,0025","85,5"
13177,"Chayote ou christophine ou chouchou, bouillie/cuite à l'eau","Chayote, boiled/cooked in water",02,0201,020102,"21,6","89,6","0,62","2,29",-,"0,48","0,086","2,8","0,0025","93,4"
13178,"Canneberge ou cranberry, séchée, sucrée","Cranberry, dried, with sugar(s)",02,0204,020404,332,1410,"0,25","76,4","72,8",1,"0,2","5,7","< 0,013","14,6"
13179,"Pomelo (dit Pamplemousse) jaune, chair sans peau, sans pépins, cru","Grapefruit, yellow, flesh without skin, without seeds, raw",02,0204,020401,-,-,"0,69","7,31","7,31","0,1","0,014","1,1",0,"90,5"
13180,"Pomelo (dit Pamplemousse) rose, chair sans peau, sans pépins, cru","Grapefruit, red or pink, flesh without skin, without seeds, raw",02,0204,020401,-,-,"0,77","6,2","6,2","0,14","0,021","1,6",0,"88,1"
13182,Boisson infantile céréales lactées (aliment moyen),Dairy and cereal-based beverage for baby (average),11,1101,000000,86,362,"2,17","12,6","4,72","2,78","1,19","1,11","0,066",81
13183,"Baie de goji, séchée","Goji berry, dried",02,0204,020404,300,1270,"12,1",49,"48,4","2,9","0,75","11,8","0,91","18,4"
13184,Olive (aliment moyen),Olive (average),10,1002,000000,165,680,"1,29","0,65","0,029","16,6","2,29","3,83","2,83","74,4"
13185,"Compote ou assimilé, tout type de fruits, sans précision sur la teneur en sucres (allégée en sucres ou non, sans sucres ajoutés…) ni sur le rayon (aliment moyen)","Fruit compote and similar, any fruit, sugar content unknown (average)",02,0204,020402,"80,2",340,"0,26","19,1","17,2","0,16","0,02","1,65","0,013","78,9"
13186,Olive noire (aliment moyen),"Olives, black (average food)",10,1002,000000,182,744,"1,41","0,26","0,015",18,"2,17","6,46","2,09","73,3"
13187,"Purée de pommes, type ""compote sans sucres ajoutés"", rayon ambiant","Stewed fruits, apple, no added sugars, (pulp or mixed fruits), room temperature",02,0204,020402,"56,4",239,"1,13","11,6","11,6","0,28","0,082","1,7","< 0,013","85,1"
13188,"Poire Conférence, chair sans peau, crue","Pear, var. Conférence, flesh without skin, raw",02,0204,020401,"49,1",207,"0,25","11,4","9,4","< 0,5","< 0,01","3,1","< 0,013","85,3"
13189,"Poire Williams, chair sans peau, crue","Pear, var. Williams, flesh without skin, raw",02,0204,020401,"50,2",211,"0,25","11,5","9,4","< 0,5","< 0,01","3,1","< 0,013","84,7"
13190,"Pomme Chantecler, chair sans peau, crue","Apple, var. Chanteclerc, flesh without skin, raw",02,0204,020401,"47,2",200,"0,25","11,2","10,8","< 0,5","< 0,01","1,9","< 0,013","86,4"
13191,"Pomme Gala, chair sans peau, crue","Apple, var. Gala, flesh without skin, raw",02,0204,020401,"51,6",218,"0,25","11,9","11,1","< 0,5","< 0,01","1,9","< 0,013","85,5"
13192,"Pomme Pink lady, chair sans peau, crue","Apple, var. Pink lady, flesh without skin, raw",02,0204,020401,"57,3",242,"0,25","12,8","12,3","< 0,5","< 0,01","2,9","< 0,013","83,6"
13193,"Pêche blanche, chair et peau, sans noyau, crue","Peach, white-flesh variety, flesh and skin, pitted, raw",02,0204,020401,"44,3",187,"0,69","9,48","8,7","< 0,5","< 0,01","2,1","< 0,013","87,6"
13194,"Pêche blanche, chair sans peau, sans noyau, crue","Peach, white-flesh variety, flesh without skin, pitted, raw",02,0204,020401,"44,3",188,"0,63","9,63","7,8","< 0,5","< 0,01","1,1","< 0,013","87,6"
13195,"Pêche jaune, chair sans peau, sans noyau, crue","Peach, yellow-flesh variety, flesh without skin, pitted, raw",02,0204,020401,"44,5",189,"0,69","9,8","7,6","< 0,5","< 0,01",1,"< 0,013","87,8"
13199,"Compote, tout type de fruits autres que pomme seule, allégée en sucres, préemballée, rayon ambiant","Fruit compote, miscellaneous fruits other than apple only, reduced sugar, prepacked, room temperature",02,0204,020402,"65,7",278,"0,25","15,4","14,6","0,2","0,071","1,6","< 0,013","82,9"
13200,"Mangue José, chair sans peau, sans noyau, crue, prélevée à La Réunion (Mangifera indica L.)","Mango José, flesh without skin, pitted, raw, sampled in the island La Réunion (Mangifera indica L.)",02,0204,020406,"88,8",376,"0,75","19,3","18,4","0,5","0,18","1,8","< 0,013","77,1"
13201,"Ananas Victoria ou Queen Victoria, chair sans peau, crue, prélevé à La Réunion","Queen Vicoria ananas, flesh, raw, sampled in the island La Réunion",02,0204,020406,"69,8",295,"0,94","15,1","14,9","< 0,3","< 0,01","2,4","< 0,013","81,3"
13202,"Papaye Colombo (fruit mûr), chair sans peau, sans pépins, crue, prélevée à La Réunion (Carica papaya L.)","Colombo Papaya (fruit), mature,flesh without skin, without seeds, raw, sampled in the island La Réunion (Carica papaya L.)",02,0204,020406,38,160,"0,56","7,88","7,7","< 0,3","< 0,01","2,2","< 0,013","88,6"
13203,"Rhubarbe, tige, cuite","Rhubarb, stalk, cooked",02,0204,020402,"18,8","79,2","0,94","1,35","1,3","< 0,5","< 0,15","2,3",< 2,94
13204,"Compote de pêche, préemballée","Peach compote, prepacked",02,0204,020402,106,449,"0,63","24,9","24,3","0,1","0,000033","1,65","0,02",-
13205,"Compote d'abricot, préemballée","Apricot compote, prepacked",02,0204,020402,103,436,"0,72","24,1","23,3","0,1","0,04","1,47","0,022","67,5"
13206,"Compote de rhubarbe, préemballée","Rhubarb compote, prepacked",02,0204,020402,111,469,"0,57","25,8","24,4","0,067","0,000033","2,38","0,025",-
13207,"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes), préemballé, rayon frais","Fruits dessert, all types (sugar content is less than fruits compote but more than fruits compote reduced sugar), prepacked, refrigerated",02,0204,020402,"77,3",327,"0,35","17,7","17,1","0,22","0,049","1,78","0,0021",-
13208,"Spécialité de fruits divers, sucrée (mélange chairs et/ou purées de fruits, mais toujours avec autre ingrédient), préemballée, rayon frais","Stewed fruits, sweetened (pulp or mixed fruits, with sugar(s), but always with other ingredient), prepacked, refrigerated",02,0204,020402,"79,2",335,"0,36","18,2","17,1","0,22","0,061","1,87","0,0051",-
13209,"Spécialité de fruits, tout type de fruits, sans sucres ajoutés (mélange chairs et/ou purées de fruits, mais toujours avec autre ingrédient), préemballée, rayon frais","Stewed fruits, no added sugars (pulp or mixed fruits, but always with other ingredient), prepacked, refrigerated",02,0204,020402,"55,6",235,"0,38","12,2","11,2","0,3","0,1","1,8","0,0061",-
13210,"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés"", préemballée, rayon frais","Stewed fruits, no added sugars (pulp or mixed fruits,), prepacked, refrigerated",02,0204,020402,"58,7",248,"0,43","12,7","11,5","0,29","0,064","2,02","0,0039",-
13211,"Compote, autres fruits, préemballée","Other fruit compote, prepacked",02,0204,020402,101,429,"0,25","23,9","23,1","0,072","0,028",2,"< 0,013","73,1"
13212,"Compote de pomme, sans précision sur la teneur en sucres ni sur le rayon (aliment moyen)","Apple compote, sugar content and temperature unknown, prepacked (average)",02,0204,020402,"93,5",396,"0,25","22,4",20,"0,2","0,025","1,46","0,023","76,1"
13213,"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes), préemballé, sans précision sur le rayon (aliment moyen)","Fruits dessert, all types (sugar content is less than fruits compote but more than fruits compote reduced sugar), prepacked (average)",02,0204,020402,"84,4",357,"0,34","19,4","17,3","0,22","0,044","1,88","0,0037",-
